Temperature (°C),Humidity (%)
32.00,56.70
32.00,56.60
32.00,56.60
32.10,56.70
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.70
32.10,56.60
32.00,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.60
32.10,56.50
32.10,56.60
32.00,56.50
32.10,56.60
32.00,56.50
32.10,56.60
32.10,56.60
32.00,56.60
32.00,56.60
32.00,56.60
32.00,56.60
32.00,56.60
32.00,56.60
32.00,56.60
32.00,56.50
32.00,56.60
32.00,56.60
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.80
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
32.00,56.70
31.90,56.70
32.00,56.80
31.90,56.80
31.90,56.80
32.00,56.80
32.00,56.80
31.90,56.80
31.90,56.80
31.90,56.70
31.90,56.70
32.00,56.70
32.00,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.60
32.00,56.70
31.90,56.60
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.50
31.90,56.60
31.90,56.70
32.00,56.60
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.50
31.90,56.60
31.90,56.50
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.50
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.50
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.60
31.90,56.60
31.90,56.60
31.80,56.60
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.70
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.70
31.80,56.70
31.80,56.60
31.90,56.60
31.90,56.60
31.90,56.60
31.90,56.70
31.90,56.70
31.90,56.60
31.80,56.60
31.80,56.90
31.80,57.10
31.80,57.90
31.80,58.70
31.80,59.40
31.70,59.70
31.70,59.90
31.60,60.10
31.60,60.30
31.60,60.40
31.60,60.50
31.50,60.70
31.50,60.90
31.50,61.00
31.40,61.10
31.40,61.30
31.40,61.50
31.40,61.80
31.40,62.00
31.30,62.20
31.30,62.40
31.30,62.60
31.30,62.70
31.30,62.80
31.20,62.90
31.20,63.00
31.20,63.10
31.20,63.20
31.20,63.30
31.10,63.30
31.10,63.50
31.10,63.60
31.10,63.70
31.10,63.70
31.10,63.80
31.10,63.80
31.00,63.90
31.00,64.00
31.00,64.10
31.00,64.40
31.00,64.60
31.00,64.90
31.00,65.00
31.00,65.10
31.00,65.30
31.00,65.30
31.00,65.50
31.00,65.50
30.90,65.50
30.90,65.60
30.90,65.50
30.90,65.50
30.90,65.50
30.90,65.40
30.90,65.40
30.90,65.40
30.90,65.40
30.90,65.40
30.80,65.50
30.90,65.60
30.80,65.60
30.80,65.70
30.80,65.60
30.80,65.60
30.80,65.60
30.80,65.60
30.80,65.70
30.80,65.80
30.80,65.80
30.80,65.80
30.80,65.80
30.70,65.80
30.80,65.80
30.80,65.90
30.70,66.10
30.70,66.30
30.70,66.40
30.70,66.50
30.70,66.60
30.70,66.70
30.70,66.80
30.70,66.90
30.70,67.00
30.60,66.90
30.60,67.00
30.60,67.00
30.60,67.00
30.60,67.00
30.60,66.90
30.60,66.90
30.60,66.80
30.60,66.80
30.60,66.80
30.60,66.70
30.60,66.70
30.50,66.60
30.50,66.60
30.50,66.70
30.50,66.70
30.50,66.80
30.50,66.90
30.50,66.90
30.50,66.90
30.50,67.00
30.50,67.00
30.50,67.00
30.50,66.90
30.50,66.90
30.50,66.90
30.50,67.00
30.50,67.10
30.50,67.00
30.50,67.00
30.50,67.00
30.50,67.00
30.50,67.10
30.40,67.00
30.40,67.10
30.40,67.00
30.40,67.10
30.50,67.10
30.40,67.20
30.40,67.20
30.40,67.20
30.40,67.30
30.40,67.40
30.40,67.40
30.40,67.50
30.40,67.60
30.40,67.60
30.40,67.70
30.40,67.60
30.40,67.60
30.40,67.50
30.40,67.50
30.40,67.50
30.40,67.40
30.40,67.30
30.40,67.30
30.40,67.40
30.40,67.40
30.40,67.40
30.40,67.40
30.40,67.40
30.40,67.40
30.40,67.40
30.40,67.50
30.40,67.60
30.40,67.70
30.40,67.80
30.40,67.90
30.40,68.00
30.40,68.10
30.40,68.10
30.40,68.20
30.40,68.20
30.40,68.20
30.40,68.10
30.40,68.20
30.40,68.20
30.40,68.10
30.40,68.20
30.40,68.10
30.40,68.00
30.40,68.10
30.40,68.20
30.50,68.10
30.50,68.10
30.50,68.10
30.50,68.10
30.50,68.20
30.50,68.30
30.50,68.20
30.40,68.20
30.50,68.10
30.50,68.10
30.50,68.00
30.50,68.00
30.50,68.00
30.50,68.10
30.50,68.10
30.50,68.00
30.50,67.90
30.50,67.80
30.50,67.80
30.50,67.80
30.50,67.70
30.50,67.70
30.50,67.70
30.50,67.70
30.50,67.60
30.50,67.60
30.50,67.60
30.50,67.50
30.50,67.50
30.50,67.50
30.50,67.50
30.50,67.60
30.50,67.60
30.50,67.60
30.50,67.60
30.50,67.50
30.50,67.50
30.50,67.50
30.50,67.60
30.50,67.70
30.50,67.60
30.50,67.60
30.60,67.60
30.60,67.70
30.50,67.70
30.60,67.70
30.60,67.80
30.60,67.80
30.60,67.90
30.60,68.00
30.60,68.10
30.60,68.00
30.60,68.00
30.60,67.90
30.60,67.90
30.60,67.80
30.60,67.90
30.60,67.80
30.60,67.90
30.60,68.00
30.60,67.90
30.60,67.90
30.60,67.80
30.60,67.80
30.60,67.80
30.60,67.70
30.60,67.70
30.60,67.70
30.60,67.60
30.60,67.70
30.60,67.60
30.60,67.60
30.60,67.50
30.60,67.50
30.60,67.50
30.60,67.40
30.60,67.50
30.60,67.40
30.60,67.50
30.70,67.40
30.60,67.40
30.60,67.40
30.60,67.40
30.60,67.40
30.60,67.40
30.60,67.40
30.60,67.40
30.60,67.40
30.70,67.40
30.70,67.50
30.60,67.50
30.70,67.50
30.70,67.40
30.70,67.40
30.70,67.30
30.70,67.30
30.70,67.30
30.70,67.30
30.70,67.30
30.70,67.20
30.70,67.20
30.70,67.20
30.70,67.10
30.70,67.20
30.70,67.10
30.70,67.10
30.70,67.10
30.70,67.20
30.70,67.40
30.70,67.40
30.70,67.40
30.70,67.40
30.70,67.40
30.70,67.40
30.70,67.40
30.70,67.50
30.70,67.60
30.70,67.60
30.70,67.60
30.70,67.60
30.70,67.60
30.70,67.60
30.70,67.60
30.70,67.70
30.70,67.90
30.70,67.90
30.70,67.90
30.70,68.00
30.70,68.00
30.80,68.10
30.80,68.10
30.70,68.00
30.80,68.10
30.80,68.10
30.80,68.10
30.80,68.00
30.80,68.00
30.80,67.90
30.80,67.90
30.80,67.90
30.80,68.00
30.80,68.00
30.80,67.90
30.80,67.80
30.80,67.70
30.80,67.70
30.80,67.60
30.80,67.70
30.80,67.80
30.80,67.90
30.80,67.90
30.80,67.90
30.80,67.90
30.80,67.90
30.80,68.00
30.80,67.90
30.80,68.00
30.80,68.10
30.80,68.00
30.80,68.00
30.80,67.90
30.80,67.80
30.80,67.70
30.90,67.70
30.90,67.80
30.80,67.90
30.90,67.90
30.90,68.00
30.80,68.00
30.90,68.10
30.90,68.10
30.90,68.20
30.90,68.20
30.90,68.30
30.90,68.30
30.90,68.20
30.90,68.20
30.90,68.20
30.90,68.20
30.90,68.10
30.90,68.00
30.90,68.00
30.90,68.00
30.90,68.10
30.90,68.10
30.90,68.10
30.90,68.20
30.90,68.20
30.90,68.20
30.90,68.20
30.90,68.30
30.90,68.30
30.90,68.20
30.90,68.20
30.90,68.10
30.90,68.00
30.90,67.90
30.90,68.00
30.90,67.90
30.90,67.90
30.90,67.80
30.90,67.70
30.90,67.70
30.90,67.70
30.90,67.80
30.90,67.90
30.90,67.90
30.90,67.90
30.90,67.80
30.90,67.80
30.90,67.80
30.90,67.70
30.90,67.80
30.90,67.80
30.90,67.70
30.90,67.60
30.90,67.70
30.90,67.80
30.90,67.80
30.90,67.80
30.90,67.80
30.90,67.80
31.00,67.80
31.00,67.80
30.90,67.80
31.00,67.80
30.90,67.60
31.00,67.70
31.00,67.60
31.00,67.50
31.00,67.50
31.00,67.50
31.00,67.40
31.00,67.40
31.00,67.40
31.00,67.40
31.00,67.50
31.00,67.50
31.00,67.60
31.00,67.60
31.00,67.70
31.00,67.90
31.00,67.90
31.00,67.90
31.00,67.90
31.00,67.90
31.00,67.90
31.00,67.80
31.00,67.80
31.00,67.90
31.00,67.90
31.00,67.90
31.10,67.80
31.10,67.70
31.10,67.70
31.00,67.60
31.10,67.50
31.10,67.40
31.10,67.30
31.10,67.30
31.10,67.20
31.10,67.10
31.10,67.10
31.10,67.20
31.10,67.20
31.10,67.20
31.10,67.20
31.10,67.20
31.10,67.30
31.10,67.40
31.10,67.30
31.10,67.40
31.10,67.40
31.10,67.30
31.10,67.30
31.10,67.40
31.10,67.50
31.10,67.60
31.10,67.70
31.10,67.80
31.10,67.80
31.10,67.70
31.10,67.70
31.10,67.60
31.10,67.40
31.10,67.40
31.10,67.30
31.10,67.20
31.10,67.20
31.10,67.10
31.10,67.00
31.10,66.90
31.10,67.00
31.10,67.10
31.10,67.00
31.10,67.00
31.10,66.90
31.20,66.90
31.10,66.80
31.10,66.80
31.20,66.90
31.10,66.80
31.10,66.80
31.10,66.80
31.10,66.80
31.20,66.90
31.20,66.80
31.20,66.90
31.20,66.80
31.10,66.80
31.20,66.80
31.20,66.90
31.20,66.90
31.20,67.00
31.20,67.00
31.20,67.10
31.20,67.10
31.20,67.10
31.20,67.10
31.20,67.00
31.20,67.00
31.20,66.90
31.20,66.90
31.20,66.80
31.20,66.60
31.20,66.60
31.20,66.50
31.20,66.50
31.20,66.60
31.20,66.70
31.20,66.70
31.20,66.90
31.20,66.80
31.20,66.80
31.20,66.70
31.20,66.60
31.20,66.50
31.20,66.50
31.20,66.50
31.20,66.40
31.30,66.40
31.30,66.50
31.20,66.40
31.20,66.50
31.30,66.50
31.20,66.50
31.30,66.60
31.30,66.60
31.30,66.60
31.20,66.60
31.30,66.60
31.30,66.60
31.30,66.60
31.30,66.60
31.30,66.60
31.30,66.70
31.30,66.70
