Temperature (°C),Humidity (%)
29.70,64.20
29.70,64.20
29.70,64.20
29.70,64.10
29.70,64.20
29.70,64.20
29.70,64.10
29.70,64.10
29.70,64.10
29.70,64.10
29.70,64.10
29.70,64.10
29.70,64.10
29.70,64.10
29.70,64.00
29.70,64.10
29.80,64.10
29.70,64.00
29.70,63.90
29.70,64.00
29.70,64.00
29.70,64.00
29.80,64.00
29.70,64.00
29.80,64.00
29.70,63.90
29.80,64.00
29.80,63.90
29.80,63.80
29.80,63.80
29.80,63.80
29.80,63.80
29.80,63.80
29.80,63.80
29.80,63.70
29.80,63.70
29.80,63.70
29.80,63.60
29.80,63.60
29.80,63.50
29.80,63.50
29.80,63.50
29.80,63.50
29.80,63.40
29.80,63.40
29.80,63.50
29.80,63.40
29.80,63.40
29.80,63.50
29.80,63.50
29.80,63.40
29.80,63.40
29.80,63.40
29.80,63.40
29.90,63.30
29.90,63.20
29.90,63.30
29.90,63.30
29.90,63.20
29.90,63.20
29.90,63.20
29.90,63.30
29.90,63.20
29.90,63.20
29.90,63.20
29.90,63.10
29.90,63.20
29.90,63.20
29.90,63.20
29.90,63.20
29.90,63.30
29.90,63.20
29.90,63.20
29.90,63.20
29.90,63.10
29.90,63.10
29.90,63.10
29.90,63.10
29.90,63.10
29.90,63.10
29.90,63.00
30.00,63.00
30.00,63.00
29.90,62.90
30.00,62.90
30.00,62.80
30.00,62.80
30.00,62.80
30.00,62.80
30.00,62.70
30.00,62.70
30.00,62.70
30.00,62.60
30.00,62.70
30.00,62.50
30.00,62.60
30.00,62.50
30.00,62.50
30.00,62.50
30.00,62.50
30.00,62.40
30.00,62.40
30.00,62.40
30.00,62.40
30.00,62.50
30.00,62.50
30.00,62.40
30.00,62.50
30.00,62.50
30.00,62.40
30.00,62.50
30.00,62.50
30.00,62.50
30.00,62.50
30.00,62.50
30.10,62.50
30.00,62.50
30.00,62.60
30.00,62.50
30.00,62.50
30.10,62.60
30.00,62.50
30.00,62.50
30.00,62.50
30.10,62.50
30.10,62.60
30.00,62.50
30.00,62.40
30.00,62.50
30.10,62.40
30.10,62.40
30.10,62.30
30.10,62.30
30.10,62.30
30.10,62.20
30.10,62.20
30.10,62.10
30.10,62.00
30.10,62.10
30.10,62.00
30.10,62.10
30.00,62.00
30.10,62.00
30.10,62.00
30.00,62.00
30.10,62.00
30.10,61.90
30.10,61.90
30.10,61.90
30.10,61.90
30.10,61.90
30.00,61.80
30.10,61.90
30.10,61.90
30.10,62.00
30.00,62.00
30.10,62.10
30.10,62.10
30.10,62.10
30.00,62.10
30.00,62.20
30.10,62.10
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.00,62.20
30.10,62.30
30.10,62.30
30.10,62.30
30.10,62.30
30.10,62.30
30.10,62.30
30.10,62.30
30.10,62.40
30.10,62.30
30.10,62.30
30.10,62.20
30.10,62.20
30.10,62.10
30.10,62.00
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.00
30.10,62.10
30.10,62.10
30.10,62.00
30.10,62.10
30.10,62.00
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.10
30.10,62.20
30.10,62.10
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.10,62.20
30.20,62.20
30.10,62.20
30.10,62.10
30.10,62.20
30.10,62.10
30.20,62.20
30.20,62.10
30.10,62.10
30.20,62.10
30.20,62.10
30.20,62.20
30.20,62.20
30.20,62.10
30.20,62.10
30.20,62.10
30.20,62.00
30.20,62.00
30.20,62.00
30.20,62.00
30.20,61.90
30.20,62.00
30.20,61.90
30.20,61.90
30.10,62.00
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.80
30.20,61.80
30.10,61.80
30.20,61.90
30.10,61.90
30.20,61.90
30.10,61.90
30.20,61.90
30.20,62.00
30.10,62.00
30.20,61.90
30.10,62.00
30.10,62.00
30.10,62.00
30.10,62.00
30.10,62.00
30.10,62.00
30.20,62.00
30.10,62.00
30.10,62.00
30.10,62.00
30.10,62.00
30.10,62.00
30.20,61.80
30.20,62.00
30.20,61.90
30.20,61.90
30.20,62.00
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.80
30.20,61.90
30.20,61.90
30.20,61.80
30.20,61.90
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.90
30.20,61.80
30.20,61.80
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.80
30.20,61.80
30.20,61.70
30.10,61.80
30.20,61.80
30.20,61.80
30.20,61.70
30.20,61.80
30.10,61.80
30.10,61.80
30.10,61.80
30.20,61.90
30.10,61.80
30.10,61.80
30.20,61.90
30.20,61.90
30.10,61.90
30.20,61.80
30.10,61.80
30.10,61.80
30.20,61.90
30.20,61.80
30.10,61.80
30.20,61.80
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.90
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.80
30.20,61.70
30.20,61.70
30.20,61.70
30.20,61.60
30.20,61.60
30.20,61.60
30.20,61.60
30.20,61.70
30.30,61.60
30.20,61.60
30.20,61.60
30.20,61.60
30.30,61.60
30.30,61.60
30.20,61.60
30.20,61.60
30.30,61.70
30.30,61.60
30.30,61.60
30.30,61.60
30.30,61.60
30.30,61.60
30.30,61.50
30.30,61.50
30.20,61.50
30.30,61.50
30.30,61.50
30.20,61.50
30.30,61.50
30.30,61.40
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.60
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.50
30.30,61.40
30.30,61.40
30.30,61.50
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.50
30.30,61.50
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.50
30.30,61.40
30.30,61.50
30.30,61.40
30.30,61.50
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.30
30.30,61.30
30.30,61.30
30.40,61.30
30.30,61.30
30.40,61.30
30.30,61.30
30.40,61.20
30.30,61.20
30.30,61.10
30.40,61.30
30.30,61.20
30.30,61.20
30.40,61.20
30.40,61.20
30.30,61.20
30.30,61.20
30.40,61.20
30.30,61.20
30.40,61.20
30.30,61.20
30.30,61.20
30.30,61.20
30.40,61.20
30.30,61.20
30.30,61.30
30.30,61.30
30.30,61.20
30.30,61.20
30.30,61.20
30.30,61.30
30.30,61.30
30.30,61.30
30.30,61.30
30.30,61.30
30.30,61.40
30.30,61.30
30.30,61.30
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.30,61.40
30.20,61.40
30.30,61.40
30.20,61.40
30.20,61.50
30.20,61.50
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.20,61.40
30.30,61.50
30.30,61.50
30.20,61.50
30.20,61.50
30.20,61.50
30.30,61.50
30.20,61.50
30.20,61.50
30.30,61.50
30.20,61.50
30.20,61.50
30.30,61.50
30.20,61.40
30.30,61.50
30.30,61.40
30.20,61.40
30.30,61.50
30.30,61.50
30.30,61.40
30.30,61.40
30.20,61.40
30.30,61.40
